total,target,horizon,case0_count,case0_entry_range_median,case0_future_range_median,case0_expansion_median,case0_expansion_p75,case0_expansion_p25,case1_count,case1_entry_range_median,case1_future_range_median,case1_expansion_median,case1_expansion_p75,case1_expansion_p25,case2_count,case2_entry_range_median,case2_future_range_median,case2_expansion_median,case2_expansion_p75,case2_expansion_p25,case3_count,case3_entry_range_median,case3_future_range_median,case3_expansion_median,case3_expansion_p75,case3_expansion_p25,dataset
2099697,25,15,36961,10.023925028604232,11.986457054043667,1.2202414521443203,1.864807885988062,0.8441255108612321,339912,5.240105351776925,5.83529915789336,1.1407475297781065,1.8227383922171034,0.7640991522873872,567756,12.439528168419464,13.69970172522284,1.1199002450417017,1.6034198074906476,0.8028785845088688,1146416,6.549965903751511,6.9361194171599365,1.0660748760000036,1.5838207537842313,0.7461257801064314,train
2099697,25,30,41571,9.060407027999533,10.800174895577264,1.20595954883411,1.8670204045419232,0.820549739035138,339912,5.240105351776925,6.00657261285838,1.179975681501145,1.9070300844208619,0.7806956481755862,825049,10.900222861550944,11.9333706813682,1.1102197996176404,1.6024160449627929,0.7890748028547551,889123,6.085466639790834,6.520156181942868,1.088953896084708,1.6453480231094302,0.7512223447483588,train
2099697,25,60,44103,8.53255766490829,10.237782870899137,1.201169839215502,1.8959192581019022,0.8071658502390542,339912,5.240105351776925,6.269708547041547,1.2234835869139036,2.011257034153001,0.7959434062277594,1091084,9.829093970953629,10.823936679856015,1.1122886581746179,1.6304308936159246,0.7798805257778956,623088,5.663422570522874,6.168464182187234,1.1159017152961752,1.7204190657048524,0.755725327417861,train
2099697,25,120,45168,8.31903508970548,10.038674892146647,1.2023357366362772,1.9320345980876747,0.795603069856865,339912,5.240105351776925,6.554201737063739,1.2669862119363446,2.105515665101689,0.8112941730527733,1333662,9.070296998528386,10.175273628238624,1.1264850353834186,1.6832682178927239,0.7752009583873478,380510,5.33096224727546,5.898400807144092,1.1412596958987284,1.7978637972699558,0.7587418366316958,train
2099697,30,5,18344,13.867069957353172,17.98864399031436,1.335526155670057,2.0309862384781594,0.9234602270112741,405835,5.276901131299895,5.672909555254266,1.0768421948934077,1.7047258702508887,0.7274845567434397,182965,17.871649463226177,21.191269881196824,1.2040150258847482,1.7504401215674408,0.8576851901013955,1472202,7.561489219229287,7.947840820725673,1.0339046416052677,1.5154249267847288,0.7300438331606234,train
2099697,30,10,25514,11.62607046074661,14.392314606009638,1.2645042527093406,1.9403488172718393,0.8770481723635908,405835,5.276901131299895,5.801705585322573,1.1142220771540134,1.7660061728349707,0.7503794416047972,336425,14.6763396581526,16.66272780954851,1.1527163737847854,1.6567225521738023,0.8258679829453512,1318742,7.143012111209985,7.566377733357285,1.0539833603105366,1.5462049733355958,0.7440157247189751,train
2099697,30,15,29105,10.659931649354322,12.974951797868448,1.2423373955168617,1.9077633049865539,0.8582515009509117,405835,5.276901131299895,5.860774053478285,1.1331470576681661,1.8044288883181043,0.7604907920784182,455020,13.302678334010249,14.873839844158347,1.1368068725710172,1.6314488928454542,0.8131527625055301,1200147,6.8719316726103905,7.297902321480333,1.0642387776694215,1.568966209950747,0.7483104030606338,train
2099697,30,30,33865,9.517797680997415,11.444181234195232,1.2234545116128306,1.8921752376598266,0.8311117498812887,405835,5.276901131299895,6.004940788389522,1.167642474329373,1.8801987059825211,0.7749048994371138,697650,11.513185394768616,12.702628917874229,1.121306067267665,1.6195577887431298,0.7969048741915838,957517,6.3988492509919395,6.839446692655959,1.0824496694833132,1.61995061565932,0.7513082227021648,train
2099697,30,60,36757,8.775663690324002,10.595402085363691,1.210260222434409,1.9108776108812848,0.8133423205013416,405835,5.276901131299895,6.224521547447881,1.2070530253927607,1.974322698404269,0.7888999635816407,966110,10.250925500432565,11.32539088624283,1.1186045600854333,1.637401214740969,0.7853496319638729,689057,5.941647667072823,6.430139695225809,1.1044820822507857,1.6870362752839576,0.7533215840558286,train
2099697,30,120,38053,8.453115011836593,10.24216201742813,1.206443770939353,1.9442580397558467,0.7966845335428967,405835,5.276901131299895,6.4848427679727205,1.2481509708132,2.06326580614272,0.8022979351356461,1225470,9.358929019783563,10.496755918455438,1.1290995133526476,1.684094253146878,0.7782579086583221,429697,5.567996371691092,6.105100547790162,1.127393587204006,1.7576817073529412,0.7548857063932202,train
