total,target,horizon,total_up,total_down,total_flat,total_strong_up,total_strong_down,up_case0_pct,down_case0_pct,flat_case0_pct,strong_up_case0_pct,strong_down_case0_pct,up_case1_pct,down_case1_pct,flat_case1_pct,strong_up_case1_pct,strong_down_case1_pct,up_case2_pct,down_case2_pct,flat_case2_pct,strong_up_case2_pct,strong_down_case2_pct,up_case3_pct,down_case3_pct,flat_case3_pct,strong_up_case3_pct,strong_down_case3_pct,dataset
2099697,25,15,567017,573845,950183,167537,167006,5.761555650006967,0.0008713154248969669,0.45117624710187404,11.08232808275187,0.001197561764247991,9.06110398806385,16.346400160322037,20.494052198366,3.619498976345523,14.925212267822713,45.19987936869618,25.059554409291707,17.645232549940378,67.5993959543265,31.388692621821974,39.977460993233,58.59317411496136,61.40953900459175,17.6987769865761,53.68489754859107,train
2099697,25,30,569592,573845,952218,167862,167006,6.187586904310454,0.0008713154248969669,0.6639235973275027,11.254482849006923,0.001197561764247991,9.020140732313656,16.346400160322037,20.45025403846598,3.612491213020219,14.925212267822713,56.23639376957541,39.26792078000157,29.341390311882364,73.55804172475008,45.79895333101805,28.555878593800475,44.384807744251496,49.54443205232415,11.574984213222766,39.274636839394994,train
2099697,25,60,570562,573845,953780,167916,167006,6.347075339752735,0.0008713154248969669,0.8266057162028979,11.28302246361276,0.001197561764247991,9.00480578797747,16.346400160322037,20.416762775482816,3.6113294742609403,14.925212267822713,66.0922038271038,53.46060347306329,42.69391264232842,78.0503346911551,59.237991449409,18.555915045165992,30.192125051189784,36.062718865985865,7.0553133709712,25.83559872100404,train
2099697,25,120,570819,573845,954588,167921,167006,6.38924072254077,0.0008713154248969669,0.9105498916810183,11.285664092043282,0.001197561764247991,9.000751551717794,16.346400160322037,20.399481242169397,3.6112219436520743,14.925212267822713,73.94953566717297,65.7810035811064,55.94696350676941,81.23165059760244,70.1250254481875,10.660472058568478,17.87172494314667,22.743005359380174,3.871463366702199,14.94856472222555,train
2099697,30,5,557289,573845,948212,164375,167006,3.1342804182390105,0.0006970523399175736,0.09206801854437614,7.794372623574144,0.0005987808821239955,11.815413546651737,18.900748459949988,24.41732439581022,5.470418250950571,16.83113181562339,21.01243699409104,5.7980813634343775,3.437311487304527,45.35665399239544,9.000874220087901,64.03786904101821,75.30047312427573,72.05329609834088,41.37855513307985,74.16739518340658,train
2099697,30,10,563238,573845,949433,166506,167006,4.157389948831577,0.0006970523399175736,0.2205526877620643,8.974451371121761,0.0005987808821239955,11.690617465440898,18.900748459949988,24.385922966654835,5.4004059913756866,16.83113181562339,31.042649821212347,13.820108217375774,8.66569836944787,55.039458037548194,19.196316300013173,53.109342764515176,67.27844627033433,66.72782597613524,30.585684599954355,63.97195310348132,train
2099697,30,15,565954,573845,950308,167189,167006,4.617336391296819,0.0006970523399175736,0.3124250243079086,9.346308668632505,0.0005987808821239955,11.634514465839981,18.900748459949988,24.363469527774154,5.378344269060763,16.83113181562339,37.67709036423455,20.25930347044934,13.209191125403553,60.28387035032209,26.7655054309426,46.071058778628654,60.83925101726075,62.11491432251438,24.99147671198464,56.40276397255188,train
2099697,30,30,569021,573845,952001,167760,167006,5.131445060902849,0.0006970523399175736,0.48970536795654623,9.65486409155937,0.0005987808821239955,11.571804907024521,18.900748459949988,24.320142520858695,5.36003814973772,16.83113181562339,49.30239832976287,33.619008617309554,23.549134927379278,68.1670243204578,40.92846963582147,33.99435170230976,47.47954587040054,51.64101718380548,16.81807343824511,42.23979976767302,train
2099697,30,60,570369,573845,953545,167898,167006,5.355655724627391,0.0006970523399175736,0.6508345175109722,9.729121252188829,0.0005987808821239955,11.544456308109313,18.900748459949988,24.280762837621715,5.355632586451298,16.83113181562339,60.39932043992573,47.94709372740026,36.33483474822898,74.44877246899904,54.86569344813959,22.700567527337565,33.151460760309845,38.733567896638334,10.466473692360838,28.302575955354897,train
2099697,30,120,570763,573845,954447,167917,167006,5.42098909705079,0.0006970523399175736,0.7447244320533252,9.739335505041181,0.0005987808821239955,11.536487123376954,18.900748459949988,24.257816306196155,5.355026590517935,16.83113181562339,69.75014147728567,61.098554487710096,49.95049489390191,79.10277101186895,66.63533046716884,13.292382302286587,20.0,25.046964367848606,5.802866892571926,16.532938936325642,train
