feature,quartile,noise_pct,real_up_pct,real_down_pct,real_both_pct,sample_size,noise_count,real_up_count,real_down_count,real_both_count
gap_bps,Q1,8.266076418585957,26.408014065378104,26.60097489985275,38.72493461618319,524977,43395,138636,139649,203297
gap_bps,Q2,7.777604280096482,26.58911320312789,27.052420498111847,38.58086201866379,973436,75710,258828,263338,375560
gap_bps,Q3,0.9631972397929844,24.073396413821946,25.675675675675674,49.287730670709394,76516,737,18420,19646,37713
gap_bps,Q4,7.971206357611857,26.34591610680087,26.704027033565282,38.97885050202199,524977,41847,138310,140190,204630
ema9_dist_pct,Q1,1.7490290050802226,25.300727460441124,21.179975503688734,51.77026803078992,524977,9182,132823,111190,271782
ema9_dist_pct,Q2,13.87679841212091,29.486625128338957,28.954792305186704,27.68178415435343,524977,72850,154798,152006,145323
ema9_dist_pct,Q3,13.307084514339703,28.72036054981561,30.547110725061717,27.425444210782967,524976,69859,150775,160365,143977
ema9_dist_pct,Q4,1.8663674789562208,22.057918727868078,26.527257384609232,49.54845640856647,524977,9798,115799,139262,260118
ema20_dist_pct,Q1,1.5846408509325172,25.28586966667111,20.539185526223054,52.59030395617332,524977,8319,132745,107826,276087
ema20_dist_pct,Q2,14.12119007118407,29.9171201785983,28.985460315404293,26.976229434813337,524977,74133,157058,152167,141619
ema20_dist_pct,Q3,13.368611136509099,28.772172442168788,30.99303587211606,26.86618054920606,524976,70182,151047,162706,141041
ema20_dist_pct,Q4,1.7248374690700736,21.590469677719216,26.691455054221425,49.993237798989284,524977,9055,113345,140124,262453
ema50_dist_pct,Q1,1.2754844497949436,24.856136554553817,20.03592538339775,53.832453612253495,524977,6696,130489,105184,282608
ema50_dist_pct,Q2,14.71531133744907,30.10169969351038,29.504340190141665,25.678648778898882,524977,77252,158027,154891,134807
ema50_dist_pct,Q3,13.38365944347932,29.417725762701536,31.081420864953824,26.11719392886532,524976,70261,154436,163170,137109
ema50_dist_pct,Q4,1.4248243256371231,21.19007118407092,26.587450497831334,50.797653992460624,524977,7480,111243,139578,266676
ema100_dist_pct,Q1,0.9802334197498177,24.497644658718382,19.79915310575511,54.722968815776696,524977,5146,128607,103941,287283
ema100_dist_pct,Q2,15.179903119565239,30.124176868700914,29.786638271771903,24.90928173996194,524977,79691,158145,156373,130768
ema100_dist_pct,Q3,13.527285056840693,29.81031513821584,31.27990612904209,25.382493675901372,524976,71015,156497,164212,133252
ema100_dist_pct,Q4,1.1118582337892897,21.133497277023565,26.343439807839204,51.41120468134795,524977,5837,110946,138297,269897
ema200_dist_pct,Q1,0.8427035851094429,24.06467330949737,19.96201738361871,55.13060572177447,524977,4424,126334,104796,289423
ema200_dist_pct,Q2,15.483916438243961,30.25408732192077,29.741302952319813,24.520693287515453,524977,81287,158827,156135,128728
ema200_dist_pct,Q3,13.604812410472098,30.03413489378562,31.477248483740212,24.883804212002072,524976,71422,157672,165248,130634
ema200_dist_pct,Q4,0.8678475437971569,21.212738843796966,26.02856887063624,51.89084474176964,524977,4556,111362,136644,272415
ema20_slope,Q1,1.5126405778549876,25.05200237725153,20.692184023650604,52.743173021242875,524976,7941,131517,108629,276889
ema20_slope,Q2,14.119339016143625,30.21305776465546,28.883661126720323,26.783942092480594,524975,74123,158611,151632,140609
ema20_slope,Q3,13.444259250440496,28.705557407495597,31.121101004809752,26.729082337254155,524975,70579,150697,163378,140321
ema20_slope,Q4,1.723126390539758,21.59432050227058,26.51245009295663,50.170103014233035,524976,9046,113365,139184,263381
ema50_slope,Q1,1.2667245740757673,24.653698454786504,20.328167382889884,53.751409588247846,524976,6650,129426,106718,282182
ema50_slope,Q2,14.720700985761226,30.233820658126575,29.368636601742942,25.676841754369256,524975,77280,158720,154178,134797
ema50_slope,Q3,13.38749464260203,29.294537835135003,31.167769893804465,26.1501976284585,524975,70281,153789,163623,137282
ema50_slope,Q4,1.424446069915577,21.382882265094022,26.344823382402243,50.84784828258816,524976,7478,112255,138304,266939
ema200_slope,Q1,0.9028984182134041,23.89823534790162,20.334834354332386,54.86403187955259,524976,4740,125460,106753,288023
