feature,horizon,q1_mfe_median_train,q4_mfe_median_train,q4_q1_diff_train,spearman_r_train,p_value_train,q1_count_train,q4_count_train,pct_profitable_q1_train,pct_profitable_q4_train,status_train,q1_mfe_median_oos,q4_mfe_median_oos,q4_q1_diff_oos,spearman_r_oos,p_value_oos,q1_count_oos,q4_count_oos,pct_profitable_q1_oos,pct_profitable_q4_oos,status_oos
rsi_extreme_oversold,10,87.85922971817078,87.85922971817078,0.0,0.05559518349830054,1.569794771024978e-35,139903,139903,96.75846836736882,96.75846836736882,OK,66.96149529932323,66.96149529932323,0.0,0.06737317879541976,2.1317269595105226e-51,69931,69931,96.37928815546753,96.37928815546753,OK
session_asia_night,10,87.85922971817078,87.85922971817078,0.0,-0.08375445179990912,1.587047033501779e-78,139903,139903,96.75846836736882,96.75846836736882,OK,66.96149529932323,66.96149529932323,0.0,-0.08595785700995058,1.2590113293764023e-82,69931,69931,96.37928815546753,96.37928815546753,OK
is_weekend,10,87.85922971817078,87.85922971817078,0.0,-0.16879343865973956,0.0,139903,139903,96.75846836736882,96.75846836736882,OK,66.96149529932323,66.96149529932323,0.0,-0.3242258853214235,0.0,69931,69931,96.37928815546753,96.37928815546753,OK
session_europe,10,87.85922971817078,87.85922971817078,0.0,-0.007065515286847964,0.11413493027741285,139903,139903,96.75846836736882,96.75846836736882,OK,66.96149529932323,66.96149529932323,0.0,-0.040216180511092166,2.340366200291991e-19,69931,69931,96.37928815546753,96.37928815546753,OK
dist_from_low20,10,94.55877304870123,93.04638264787512,-1.5123904008261064,-0.0036594737430040787,0.4132056085465091,34976,34976,96.97792772186642,97.48970722781335,OK,69.90062225058757,68.90552714128191,-0.9950951093056659,-0.014491350350000667,0.001193397050646479,17483,17483,96.9970828805125,96.5680947205857,OK
day_of_week,10,94.8754121085314,74.81296758104737,-20.062444527484033,-0.13910191579604925,1.8848033948960143e-214,39907,20017,98.4138121131631,93.67038017684968,OK,79.09676387744962,55.8773740043714,-23.21938987307822,-0.2663596840023258,0.0,20105,9956,99.38323800049739,92.34632382482924,OK
atr_pct,15,55.00972074279876,194.2039494509634,139.19422870816464,0.6113199168876441,0.0,34975,34975,93.29235167977127,100.0,OK,49.40812588039758,130.10346044770756,80.69533456730998,0.5244832799337665,0.0,17482,17482,93.86225832284636,100.0,OK
keltner_width,15,55.0168254419649,194.10072803626065,139.08390259429575,0.6092498121473218,0.0,34975,34975,93.29235167977127,100.0,OK,49.40662035031244,130.15778410355978,80.75116375324734,0.5246224457114543,0.0,17482,17482,93.85653815352934,100.0,OK
bar_range_avg_10,15,54.980062413316574,193.5530556543579,138.57299324104133,0.6060885890509184,0.0,34975,34975,93.31236597569693,100.0,OK,49.491865722871495,130.92856809681365,81.43670237394215,0.531791138947352,0.0,17482,17482,93.83937764557831,100.0,OK
atr7_pct,15,55.051374833103424,193.2174455616767,138.1660707285733,0.6094584287126253,0.0,34975,34975,93.30664760543245,100.0,OK,49.56646650885847,131.79137631209977,82.2249098032413,0.5348579067024948,0.0,17482,17482,93.87369866148038,100.0,OK
atr21_pct,15,55.508361544172175,192.8480189265058,137.33965738233363,0.5993289687382467,0.0,34975,34975,93.30950679056468,100.0,OK,49.576728360902706,127.98671057603185,78.40998221512915,0.5093393406376752,0.0,17482,17482,93.86797849216337,99.99427983068298,OK
